Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03,174.5429321185891,179.4995892112378,174.42515503160624,178.64566040039062,104487900,0.0,0.0
2022-01-04,179.25420553725706,179.55847298837972,175.80907606705392,176.37835693359375,99310400,0.0,0.0
2022-01-05,176.29001709220518,176.83966343060845,171.41188337376713,171.68670654296875,94537600,0.0,0.0
2022-01-06,169.50775193820877,172.05969865170314,168.46734773211566,168.82069396972656,96904000,0.0,0.0
2022-01-07,169.69424129913546,170.92113587009246,167.86862157848182,168.987548828125,86709100,0.0,0.0
2022-01-10,165.95467253383114,169.31145435336728,165.06148967296951,169.00718688964844,106765600,0.0,0.0
2022-01-11,169.1348024201247,171.9419231072243,167.66252878475484,171.84378051757812,76138300,0.0,0.0
2022-01-12,172.8645368239584,173.90494104881037,171.58857842094562,172.2854461669922,74805200,0.0,0.0
2022-01-13,172.53082457713552,173.35529415174287,168.6145716326397,169.00718688964844,84505800,0.0,0.0
2022-01-14,168.17289299389805,170.56779364905069,167.92751407393143,169.8709259033203,80440800,0.0,0.0
2022-01-18,168.33971425733603,169.3506740016402,166.27854073936825,166.6613311767578,90956700,0.0,0.0
2022-01-19,166.85763576058818,167.9176743026287,162.87268520870165,163.15731811523438,94815000,0.0,0.0
2022-01-20,163.89349177041368,166.54358123585433,161.14524474165466,161.46914672851562,91420500,0.0,0.0
2022-01-21,161.38078458519854,163.25548287606637,159.2999764162496,159.40794372558594,122848900,0.0,0.0
2022-01-24,157.06213706108227,159.2999915243486,151.8404666623007,158.63255310058594,162294600,0.0,0.0
2022-01-25,156.04133790955973,159.7514654895658,154.1175758189767,156.82655334472656,115798400,0.0,0.0
2022-01-26,160.47779205545413,161.35134029387297,154.90279093312674,156.73822021484375,108275300,0.0,0.0
2022-01-27,159.44722329665106,160.81152952765763,155.3543046036314,156.2769317626953,121954600,0.0,0.0
2022-01-28,162.64693708008207,167.20116831659928,159.79072343360525,167.18153381347656,179935700,0.0,0.0
2022-01-31,167.0146740043963,171.76520522888097,166.37667997036093,171.5492706298828,115541600,0.0,0.0
2022-02-01,170.79351570873365,171.60817541361024,169.12494226668923,171.38243103027344,86213900,0.0,0.0
2022-02-02,171.51985796847407,172.62897543344508,170.1261075578704,172.58970642089844,84914300,0.0,0.0
2022-02-03,171.25486776241016,172.9823451068235,168.9384899406449,169.70407104492188,89418100,0.0,0.0
2022-02-04,168.72128157532018,171.09958880025067,167.7385154477962,169.41905212402344,82465400,0.22,0.0
2022-02-07,169.8809152098163,170.95212644898317,168.00382872926806,168.70159912109375,77251200,0.0,0.0
2022-02-08,168.77043538223953,172.32805922455944,168.4756025229789,171.8170166015625,74829200,0.0,0.0
2022-02-09,173.01595715476017,173.60560775677658,171.885767258212,173.2419891357422,71285000,0.0,0.0
2022-02-10,171.13887812913805,172.45578102776864,168.59351767675065,169.1536865234375,90865900,0.0,0.0
2022-02-11,169.3600823732159,170.09715694195197,165.14400744238606,165.73367309570312,98670700,0.0,0.0
2022-02-14,164.48555705147456,166.65747672658372,163.68951891129095,165.96954345703125,86185500,0.0,0.0
2022-02-15,168.02349233461683,169.9693646781473,167.3158996650025,169.81211853027344,62527400,0.0,0.0
2022-02-16,168.8883606728898,170.35267256794222,167.11937868964532,169.5762939453125,61177400,0.0,0.0
2022-02-17,168.0824845697611,168.94732353481027,165.56660575778602,165.96954345703125,69589300,0.0,0.0
2022-02-18,166.8933689298829,167.6009468216719,163.3259227044928,164.4167938232422,82772700,0.0,0.0
2022-02-22,162.1367275547911,163.81726398261975,159.35549802549073,161.4881134033203,91162800,0.0,0.0
2022-02-23,162.68710319648025,163.2865911526906,156.99689373984543,157.31138610839844,90009200,0.0,0.0
2022-02-24,149.9504420850254,160.04345337346268,149.3804359903009,159.9353485107422,141147500,0.0,0.0
2022-02-25,161.01636896535942,162.274308176353,158.09755290658669,162.00897216796875,91974200,0.0,0.0
2022-02-28,160.24982688187194,162.56915531871957,159.63067948265063,162.27432250976562,95056600,0.0,0.0
2022-03-01,161.86158516779412,163.72884988791748,159.1786377230553,160.38743591308594,83474400,0.0,0.0
2022-03-02,161.55689852854007,164.47571468295504,160.14171312084568,163.6894989013672,79724800,0.0,0.0
2022-03-03,165.5665898454482,165.99900928641364,162.69691491410015,163.3651885986328,76678400,0.0,0.0
2022-03-04,161.65518372489828,162.69691327903544,159.30637359945834,160.35792541503906,83737200,0.0,0.0
2022-03-07,160.54468531235605,162.17608078588069,156.2991281758325,156.55465698242188,96418800,0.0,0.0
2022-03-08,156.08290647641851,160.0729341178279,153.1149488975309,154.7266845703125,131148300,0.0,0.0
2022-03-09,158.69705635061237,160.5938026105418,156.66273844037977,160.1417236328125,91454900,0.0,0.0
2022-03-10,157.43914120341518,157.62586917951631,153.29186666707722,155.78810119628906,105342000,0.0,0.0
2022-03-11,156.1909993742422,156.5349734862068,151.83735301963387,152.06338500976562,96970100,0.0,0.0
2022-11-07,135.35664228494105,137.37054820183675,133.93505454893932,137.14349365234375,83374600,0.0,0.0
2022-11-08,138.61446164278013,139.6214071902777,135.7318039714629,137.71609497070312,89908500,0.0,0.0
2022-11-09,136.72887901579847,136.77824263467366,132.8688760001459,133.14529418945312,74917800,0.0,0.0
2022-11-10,139.43384265889435,144.99183654785156,137.7160881791185,144.99183654785156,118854000,0.0,0.0
2022-11-11,143.955271925704,148.09167786414133,142.5238023668343,147.78564453125,93979700,0.0,0.0
2022-11-14,147.06496772898868,148.35821299381362,145.54465286622803,146.3837890625,73374100,0.0,0.0
2022-11-15,150.2734222564666,151.6258979697989,146.66022247085542,148.1212921142578,89868300,0.0,0.0
2022-11-16,147.22293159756276,147.95345884286033,145.40645005416332,146.88726806640625,64218300,0.0,0.0
2022-11-17,144.55745437595286,149.5428782799837,144.2810362048945,148.7926025390625,80389400,0.0,0.0
2022-11-18,150.36227675012384,150.74728887735557,148.0522039867333,149.35531616210938,74829600,0.0,0.0
2022-11-21,148.2397789385964,148.4470850528785,145.83097890062086,146.1172637939453,58724100,0.0,0.0
2022-11-22,146.23573346771818,148.49644255294848,145.05106689456673,148.25950622558594,51804100,0.0,0.0
2022-11-23,147.53884398667913,149.88841358362208,147.4302500541231,149.1381378173828,58301400,0.0,0.0
2022-11-25,146.4134428504666,146.97616104993173,145.23865789115922,146.21600341796875,35195900,0.0,0.0
2022-11-28,143.28398111610815,144.76479944722283,141.54649303051897,142.37574768066406,69246000,0.0,0.0
2022-11-29,142.44481218129835,142.95816663670598,138.55520957308642,139.36471557617188,83763800,0.0,0.0
2022-11-30,139.59177292691083,146.81817210889182,138.75265175216816,146.13699340820312,111380900,0.0,0.0
2022-12-01,146.3147094607483,147.22294276953917,144.73516410236186,146.41342163085938,71250400,0.0,0.0
2022-12-02,144.09348175456344,146.10738776877085,143.7874333564375,145.91981506347656,65447400,0.0,0.0
